"author1"	"author2"	"pubs"	"pubIDs"
"Bauermeister J"	"MONTANER L"	"0"	""
"Bauermeister J"	"Moore JH"	"0"	""
"Bauermeister J"	"morroni c"	"0"	""
"Bauermeister J"	"O'doherty U"	"0"	""
"Bauermeister J"	"OBRIEN CP"	"0"	""
"Bauermeister J"	"ratcliffe s"	"0"	""
"Bauermeister J"	"RILEY JL"	"0"	""
"Bauermeister J"	"ROBERTSON ES"	"0"	""
"Bauermeister J"	"ROSS R"	"0"	""
"Bauermeister J"	"rutstein r"	"0"	""
"Bauermeister J"	"sawinski d"	"0"	""
"Bauermeister J"	"SCHNOLL RA"	"0"	""
"Bauermeister J"	"schulman ln"	"0"	""
"Bauermeister J"	"SCOTT PA"	"0"	""
"Bauermeister J"	"SHAW GM"	"0"	""
